机型,制造序列号,机号,参考类型,件号,序号,件号描述,装上件号,装上序号,安装日期,拆换日期,章节号,部件装上使用小时数,部件装上使用循环数,部件拆下使用小时数,部件拆下使用循环数,部件本次装机使用小时,最近送修公司,送修至拆下时间/FH,送修至拆下时间/CY,故障描述,故障处理,拆换原因
73N,73N04449,5805    ,DE    ,1851M36P12              ,GRTF8389        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRTF8589        ,2018-05-31,2018-11-04,8011  ,14973:56,7695,16052:50,8583,1078:54,武汉航达,1078:54,888,航后检查发现右发起动机固定螺栓丢失一颗 王晋晋AF CHECK AND FIND THE START OF THE R/H ENG HOT A SCREW, 航后依据AMM80-11-01更换右发起动机，测试正常，恢复飞机正常状态 王晋晋AF REFER TO AMM80-11-01 REPLACED THE OF THE R/H ENG TEST OK,SWAP  
73N,73N07162,206G    ,DE    ,1851M36P12              ,GRT37046        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRTF8870        ,2018-09-03,2018-10-28,80    ,00:00,0,203:18,105,203:18,,, ,,"     FROM FL11571725A航后依据AMM80-11-03更换启动活门，依据AMM80-11-01完成右发起动机更换，试车验证正常AF REFER AMM80-11-03 REPLACE SLATE VALVE REFER AMM80-11-01 REPLACESTARTER,START ARGRT TEST OK邵小进",FAIL  
73N,73N04483,5806    ,DE    ,1851M36P12              ,GRTF8400        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRT15551        ,2013-05-30,2018-10-17,80    ,00:00,0,16678:24,12535,16678:24,,, ,航后发现左发起动机本体有缺陷AF Defects were found in the left initiator ontology王晋晋,"  航后依据AMM80-11-01更换左发起动机，测试正常AF Change left initiator according to amm80-11-01, test normal王晋晋",FAIL  
73N,73N04716,5855    ,DE    ,1851M36P12              ,GRTF9195        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF1243        ,2013-11-27,2018-09-25,80    ,00:00,0,14906:15,7604,14906:15,,, ,, 本NRC仅做为记录起动机拆装的件序号，具体执行参照例行工卡EOCOM-80-0012.(左发)   WOH73N 19184,SCH   
73N,73N02668,5405    ,DE    ,1851M36P12              ,GRT06025        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRT23538        ,2018-05-20,2018-07-26,8011  ,9889:20,4920,10406:05,5211,516:45,武汉航达,516:45,291,检查起动机磁堵有磁屑(右发)何宇Check starter is magnetically blocked with magnetic particles.,    航后依据AMM80-11-01更换起动机(右发)检查正常，依据AMM79-00-00-200-804检查集油池磁堵无异常，何宇AF refer to AMM80-11-01 replace the starter of R engine check okrefer to AMM79-00-00-200-804 chip detectors and scavenge screensinspection.,FAIL  
73N,73N06288,6103    ,DE    ,1851M36P12              ,GRTF8677        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRTF8326        ,2018-06-10,2018-07-18,8011  ,00:00,0,333:51,213,333:51,,, ,右发起动机借件拆还，杨健成R/H engine starter borrow spare return,  航后依据AMM80-11-01更换右发起动机，测试正常。杨健成AF refer AMM80-11-01 replace R/H engine starter  testOK,SCH   
73N,73N06288,6103    ,DE    ,1851M36P12              ,GRT23538        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRTF8677        ,2017-02-14,2018-06-10,80    ,00:00,0,3796:03,1978,3796:03,,, ,"起动2发后,起动活门开灯保持亮,二次启动时人工关闭起动活门并放行,机组START BALVE OPEN LIGHT WAS ILLUMUNATEING AFTER ENG 2 START WAS BEENCLOSED MANUALLY FOR DEPARTMENT","    航后依据SSM80-11-11测量右发启动电门1A-1B触点阻值正常,依据AMM80-11-01更换右发起动机,依据AMM80-11-03更换右发起动活门,测试正常.欧德升AF refer to SSM80-11-11 to measure the resis tence of contastor1A-1B of R engine start valve refer to AMM80-11-03 replace startvalve test ok",FAIL  
73N,73N06025,7988    ,DE    ,1851M36P12              ,GRT21674        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRT33479        ,2016-07-28,2018-06-05,80    ,00:00,0,6407:09,3100,6407:09,,, ,航后检查发现右发起动机缺少一颗钉AF CHECK AND FIND THE R/H ENGINE STEU TER LOSE ONE SCREW杨磊,    航后依据AMM80-11-01更换右发起动机试车测试正常无漏油挂签号:0043017AF REFER TO AMM80-11-01 REPLACE THE R/H ENGINE STER TERE THE TEST ISOK杨磊P/N:S3225-222/S3225-160/AS1895-7-325/M83248-2-905,FAIL  
73N,73N05612,7105    ,DE    ,1851M36P12              ,GRT13806        ,(AOG)STARTER ASSY                                           ,3505945-10              ,GRTF5309        ,2015-09-30,2018-04-13,80    ,00:00,0,7960:46,3957,7960:46,,, ,航后检查左发启动机破损。LYI机务AF CHECK L ENG STARTER DAMAGE.,"    航后依据AMM80-11-01完成更换左发启动机，完成依据AMM12-13-11冲洗发动机滑油系统冲 10-20个循环需重新检查磁堵。LYI机务 必检：LYI机务AF REFER TO AMM80-11-01 FINISHED REPLACE L ENG STARTER REFERTO AMM12-13-11 FLUSH THE L ENG SYSTEM,10-20 AGAIN CHECK THEENG MAGNETIC BURR.",FAIL  
73N,73N05175,1729    ,DE    ,1851M36P12              ,GRT06025        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRT27237        ,2014-11-09,2018-01-30,80    ,00:00,0,9889:20,4920,9889:20,,, ,检查发现左发起动机磁堵自封活门漏油.石锐 CHECK AND FOUND THE LH ENGINESEARTER MAGNETIC OLUG LEAKAGE,"  依据AMM80-11-01更换左发起动机,试车检查左发起动机工作正常,无渗漏. 石锐高青松 Per AMM80-11-01 replaced LH engine starter running LH enginetest OK no leakage.封圈:S3225-160  S3225-222 M83248-2-905",FAIL  
73N,73N05483,6015    ,DE    ,1851M36P12              ,GRT10784        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF1656        ,2015-06-25,2017-07-23,80    ,00:00,0,7391:30,3723,7391:30,,, ,航后检查左发起动机磁屑探测器处漏油AF CHECK FOUND LH ENG STAUTER ENL LEAHAGE田鹏,   航后依据AMM80-11-01-000-01-100更换起动机试车测试正常挂签号:7002628AF REFER TO AMM80-11-01-000-801-100 REPLACED ENG1 TEST OK田鹏P/N:M83248-1-161/M83458-1-008/S3225-222/AS1893-7-325/S3225-160,FAIL  
73N,73N04391,1793    ,DE    ,1851M36P12              ,GRTF8106        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF2244        ,2015-04-07,2017-01-21,80    ,00:00,0,11727:56,5569,11727:56,,, ,在启动2发过程中 APU引气不成功  但 N不上升 一直保持3.0左右启动一发时一切正常 间隙时启动一发一切正常.侯哲,    航后依据AMM49-10-00更换APU引气活门 依据AMM80-10-00更换右发起动活门和起动机 试车测试正常 引气压力正常.崔立民/党金刚AF refer to AMM49-10-00 repalce the APU bleed valve refer to AMM80-10-00 repalce the start valve and  starer of engine 2andthe test it ok,FAIL  
73N,73N04391,1793    ,DE    ,1851M36P12              ,GRTF8127        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF3332        ,2015-04-07,2016-09-27,80    ,00:00,0,10857:59,5174,10857:59,,, ,,"    FROM FLB11020326A完成左发滑油系统冲洗更换左发起动机及滑油供油回油滤,试车检查无渗漏Finished lh eng oil sys cleaning replaced lh eng started and oilsuplcy filter return filter张颖",FAIL  
73N,73N05436,1502    ,NRC   ,1851M36P12              ,GRT10833        ,(AOG)STARTER ASSY                                           ,3505945-12              ,A3439C          ,2015-05-21,2016-09-26,80    ,00:00,0,3878:49,2007,3878:49,,, ,"检查右发起动机磁堵发现金属屑，需更换起动机。
CHECKED R/H ENG STARTERMAGNETIC PLUG FOUND PARTICLES,NEED TO REPLACE THE STARTER.","     1
1-1.  参考AMM80-11-01-000-801-F00，拆下起动机。 
REFER TO AMM80-11-01-000-801-F00,REMOVE THE STARTER. 
1-2.  参考AMM80-11-01-400-801-F00，安装起动机。 
REFER TO AMM80-11-01-400-801-F00,INSTALL THE STARTER.
1-3.  参考AMM71-00-00-800-811-F00做测试，并确保测试结果符合手册要求.
REFER TO AMM71-00-00-800-811-F00 DO THE TEST,AND MAKE SURE THE TESTRESULT MEET THE AMM. 
",FAIL  
73N,73N05268,1786    ,DE    ,1851M36P12              ,GRT02515        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF3915        ,2015-02-01,2016-06-17,80    ,00:00,0,4040:05,2126,4040:05,,, ,航前2发启动活门打不开，人工操控不成功。机组PF ENGINE 2 START VALVE CAN'T OPEN .,"    依据AMM80-11-03更换启动活门，试车测试正常无渗漏。HGH机务REF TO AMM80-11-03 REPLACED THE START VALVE ,TEST OK ,NO LEAK.FROM FLB11069034A依据AMM80-11-01更换右发起动机，试车正常，无渗漏。HGH机务REF TO AMM80-11-01 REPLACED RH STARTER ,TES TOK ,NO LEAK.",FAIL  
73N,73N04171,5687    ,DE    ,1851M36P10              ,GRTF7299        ,AIR TURBINE ENG STARTER                                     ,3505945-10              ,GRTA5729        ,2012-09-06,2013-04-25,80    ,00:00,0,2115:45,1135,2115:45,,, ,,"      航后完成MCO-2013-04-25-29检查右发前后收油池及AGB/TGB磁堵正常，检查右发起动机磁堵正常，参考AMM80-11-01更换右发起动机，试车正常。茹志平 王小鹏  陈昊 AF accomplish MCO-2013-04-25-29 check FWD ADF MCDand AGB/TGB MCD, check the right starter MCD normal,accordingAMM80-11-01 replaced right starter ,OPS run right engine,the resultis ok 封圈: S3225-160 封圈:S3225-222 封圈:1221P027(3EA)厦航借件件号:3505945-10  序号:GRTA5729",FAIL  
