机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73C,73C02859,2982    ,DE    ,CC    ,541674-4                ,106-6710        ,21    ,X,X,OBS   ,1997-03-14,00:00,0,00:00,0,2008-08-06,34627:25,20822,34627:25,20822,"1.驾驶舱空调极差,太热且气流量很小(晚上19:00-20:00的感觉如此) .2.空中表速290KTS高度2万英尺左RAM DOOR FULL OPEN 灯始终常亮.机组.",34627:25,"                      1.按AMM测试空调系统工作正常,无过热跳开,待航后处理.林国君. REFER TOAMM21-51-00 TEST THE ATC SYSTEM IS NORMAL,AF IT WILL BE DONE.2.按AMM21-61-00测试左组件冲压门失效在开位,手册允许,失效在开位,航后进一步处理.林",20822,541674-4                ,45-6447         ,,40740,68477.26,, ,(AOG)ACTUATOR-EXHAUST                                       ,570918,10338595
73C,73C02543,2990    ,DE    ,CC    ,541674-4                ,42-5721         ,21    ,X,X,FAIL  ,2008-03-15,40114:40,31083,37647:08,25356,2008-08-12,41278:44,31803,38811:12,26076,"航后检查发现右冲压门全开灯不亮。王镇停AF checked found the right pack"" light was not on..SYSTEM IS NORMAL,A",1164:04,"        航后检查并串件证实为右冲压空气作动器故障，因航材无料，办理LSDD6086069按MEL21-05-00放行，并完成M项锁至飞行打开位。王镇停AF check and found the right ram actuator faulty,lack of spare,raisethe LSDD6086069.TL10346738 航后依据AMM21-52-11更换右冲压作动器，撤除DD6086069。徐凌飞AF refer to AMM21-52-11 replace R ram air actuator,restore it andtest ok,remove DD6086069.TAG:2004223",720,541674-4                ,106-6710        ,武汉航达,30146,48171.26,1164:04,720,(AOG)ACTUATOR-EXHAUST                                       ,575858,10346727
73C,73C02922,2987    ,DE    ,CC    ,541674-4                ,77-7064         ,21    ,X,X,FAIL  ,2002-02-28,00:00,0,00:00,0,2010-05-07,39734:41,22982,39734:41,22982,,39734:41,   针对机组反映左组件冲压门没有开到位故障。航后自检ZTC1有作动器失效，更换左冲压作动筒并完成调节测试正常，符合手册要求。挂签号：9018364 赵小刚。 AF replace the ram air actuator due tomessage RAM air actuator in ZTC1 bite.,22982,541674-4                ,11012           ,,9617,18608.16,, ,(AOG)ACTUATOR-EXHAUST                                       ,941441,10371284
73C,73C01866,2960    ,DE    ,CC    ,541674-4                ,72-5826         ,21    ,X,X,FAIL  ,2004-05-17,41568:57,23787,00:00,0,2004-06-03,41729:06,23850,160:09,63,空中PACK灯亮。,160:09,  根据MEL21-5放行，并做相应M项工作。安东升。见TLB1039190:航后依据AMM21-52-00更换冲压活门作动器，更换后测试正常，可以使用。挂签号：HG0009356  渠大勇,63,541674-4                ,45-6440         ,,36969,63446.43,, ,(AOG)ACTUATOR-EXHAUST                                       ,117215,1039190 
73C,73C02859,2982    ,DE    ,CC    ,541674-4                ,45-6447         ,21    ,X,X,FAIL  ,2009-02-23,36218:39,21765,39020:40,24375,2010-06-18,40179:38,23916,42981:39,26526,过站检查右侧冲压空气折流门处于飞行位全闭合。TR check ran door at the full close position.谢大志,3960:59,"     过站检查作动筒卡阻，按MEL21-05-00放行并完成M项。TR, check the ACT at the full extend position, dispatch byMEL21-05-00, finish the M job item.  谢大志FL10400658A：航后更换右侧冲压门作动器并完成相关测试，结果符合工卡要求。AF replaced the R ran door actuator and test ok. 林国恳挂签号/tag NO: 9018209.",2151,541674-4                ,48-7501         ,武汉航达,23935,39575.24,5552:13,3094,(AOG)ACTUATOR-EXHAUST                                       ,970811,10400659
73C,73C02782,2965    ,DE    ,CC    ,541674-4                ,71-5362         ,21    ,X,X,FAIL  ,2001-06-17,15278:21,10042,00:00,0,2012-01-27,47642:24,29686,32364:03,19644,"机组反映巡航时前后舱区域灯亮,按压主警告后复位. The crew said that theFWD cabin and AFT cabin zone temperature light was on,and press wasok. 林铠",32364:03,"            按MEL21-05完成M项,锁左冲压门作动器在飞行打开位,因为左区域温度控制器有ACT信息,无法消除.Refer to MEL21-05 to dispatch and accomplished Mwork. 林铠      FROM:FLB10486441B: 航后自检ZTC1有ACT信息,ZTC2有ZONETRIM valve信息(可复位),更换左冲压进气门作动器后,测试ZTC1仍有ACT信息,将ZTC1与ZTC2分别与2501对串,故障现象转移,原2501的两个ZTC装本机上测试通过,判断2963两ZTC有故障,恢复两飞机至原始状态,按MEL21-19-02-01放行,测试飞机温度调节正常,因无料办理DD201201081,贴区域温度失效标牌. AF check ZTC1 message:ACT 潘健生FROM:FLB10486442B:ZTC2 message:zone trim valve (reset available),replace L/H ram air door actuator,the message still occur,interchangeZTC1 and ZTC2 with B-2501,confirm that both ZTC were failure,due toLS,make DD201201081,PER MEL21-19-02-01 dispatch,test the zonetemperature control ok,paste zone TEM INOP tag. 潘健生",19644,541674-4                ,11949           ,,7398,14607.1,, ,(AOG)ACTUATOR-EXHAUST                                       ,1466743,10486441
73C,73C02922,2987    ,DE    ,CC    ,541674-4                ,42-5729         ,21    , , ,SCH   ,2002-05-22,14564:27,8654,00:00,0,2011-11-29,43821:58,25407,29257:31,16753,,29257:31,"    完成工卡MAOTS210153更换B-2987飞机右侧冲压空气作动筒,测试正常挂签号:1020246Accomplished jobcard MAOTS210153 replace the right ram air actuatoron B-2987,test ok刘彪",16753,541674-4                ,12841           ,,5288,10216.59,, ,(AOG)ACTUATOR-EXHAUST                                       ,1415652,10486587
73C,73C02793,2967    ,DE    ,CC    ,541674-4                ,16-6613         ,21    ,X,X,OBS   ,2003-02-23,00:00,0,00:00,0,2011-04-08,45191:47,28195,45191:47,28195,右侧冲压进气门地面测试不能收放.潘如珍check the R A/C park ram air door can't extend full on ground,45191:47,"    航后检查左右空调控制器无故障信息,依据AMM21-52-11 更换右组件冲压作动筒通电测试正常,拆下件办观察.潘如珍AF check no fault stored in L and R A/C temperature control referto AMM21-52-11 replace the ram air actuator test ok the removepart was OBS in spare stare",28195,541674-4                ,11056           ,,9192,17600.11,, ,(AOG)ACTUATOR-EXHAUST                                       ,1208825,10504672
73C,73C02342,2579    ,DE    ,CC    ,541674-4                ,9940            ,21    ,X,X,FAIL  ,2004-05-11,32530:59,20821,00:00,0,2013-09-11,58876:11,36732,26345:12,15911,巡航阶段RAM DOOR FULL OPEN灯亮(右侧)机组,26345:12,       过站检查右侧冲压进气门间歇卡阻因时间不足按MEL21-05放行TR check the the Ram door jarnned dispatch per MEL21-05潘健生FLB10670106B:航后根据AMM21-12-11更换右冲压空气作油筒，测试工作正常AF refer to AMM21-52-11 replaced the R ram air actuatortest is ok陈培？,15911,541674-4                ,14259           ,,5134,10017.18,, ,(AOG)ACTUATOR-EXHAUST                                       ,2197747,10670106
73C,73C02557,2937    ,NRC   ,CC    ,541674-4                ,72-5871         ,21    ,X,X,FAIL  ,1993-12-23,00:00,0,00:00,0,2007-06-28,40390:19,26238,40390:19,26238,冲压空气门系统作动器作动过程不连续．THE ACTUATOR OF THE RAM AIR DOOR SYSTEM HAVE NOT CONSTANT POWER.,40390:19,     1.REF AMM21-52-11-004-001 REMOVE THE ACTUATOR OF THE RAM AIR.参考AMM21-52-11-004-001拆下冲压空气作动器．AIRP2.REF AMM21-52-11-404-006 INSTALL THE RAM AIR ACTUATOR.参考AMM21-52-11-404-006安装冲压空气作动器．AIRP3.REF AMM21-52-81-715-040 RAM AIR MODULATION SYSTEM-OPERATIONAL TEST.参考AMM21-52-81-715-040对冲压空气调节系统进行操作测试．AIRP,26238,541674-4                ,99-8437         ,,16832,21492.23,, ,(AOG)ACTUATOR-EXHAUST                                       ,207029,
73C,73C02793,2967    ,NRC   ,CC    ,541674-4                ,125-6551        ,21    ,X,X,FAIL  ,2003-02-23,20638:00,13395,00:00,0,2009-09-25,40874:57,25629,20236:57,12234,冲压空气门系统作动器工作异常。THE ACTUATOR OF THE RAM AIR DOOR ACTUATOR ABNORMITY.,20236:57,       1.REF AMM21-52-11-004-001 REMOVE THE ACTUATOR OF THE RAM AIR.参考AMM21-52-11-004-001拆下冲压空气门作动器．AIRP2.REF AMM21-52-11-404-006 INSTALL THE RAM AIR ACTUATOR.参考AMM21-52-11-404-006安装冲压空气门作动器．AIRP3.REF AMM21-52-81-715-040 RAM AIR MODULATION ADJUSTENT AND SYSTEM-OPERATIONAL TEST AND MAKE SURE THE RESULT ACCORDING WITH THE MANUAL参考AMM21-52-81-715-040对冲压空气调节系统进行调节和操作测试．确认结果符合手册要求。 AIRP挂签号：9002894  梁永迅,12234,541674-4                ,8508            ,,21378,30434.13,, ,(AOG)ACTUATOR-EXHAUST                                       ,296813,
73N,73N00972,2159    ,DE    ,CC    ,541674-4                ,12143           ,21    ,X,X,FAIL  ,2012-01-29,35033:33,17412,13250:56,6676,2015-03-21,45160:14,22450,23377:37,11714,航前检查发现左空调冲开空气折流门关闭.     陆思名PF check left A/C arm air door closed,10126:41,"       航前更换左空调ACT作动器,自检ZTC1无信息,左空调冲压空气全开灯不亮,折流门在关闭位对串ZTC1和ZTC2无效,依据MEL21-05放行.   陆思名PF replace left ACT action bit ZTC no message air arm door lightno work swap ZTC 1 and ZTC2 no result refer to MEL21-05 dispatchFLB00002046B     航后检查左侧ACT后部W5104-5524-22磨损和W5104-5503-24断裂,临时修复正常,系统测试正常,办理FC201506327恢复M项.    李旭东AF check left ACT W5104-55-24-22 worn W5104-5503-24 broken temporaryrefer it test normal open FC201506327 repair M",5038,541674-4                ,11544           ,重庆鹏华,17337,34899.24,10126:41,5038,(AOG)ACTUATOR-EXHAUST                                       ,3139958,00002044
73N,73N04159,1902    ,DE    ,CC    ,541674-4                ,16188           ,21    ,X,X,FAIL  ,2012-08-16,00:00,0,00:00,0,2017-01-15,13960:22,6524,13960:22,6524,机组反映左组件灯亮自检ZTC1 有ACT信息The crew report reft pack fault bite ztc1 have act message孙浩博,13960:22,  航后依据AMM21-51-21更换左组件ACT并测试正常AF refer to AMM21-51-21 reidac l pack act cad test ok孙浩博,6524,541674-4                ,108-7714        ,,40949,69920.03,, ,(AOG)ACTUATOR-EXHAUST                                       ,4646897,00003034
73N,73N01649,5115    ,DE    ,CC    ,541674-4                ,18-1494         ,21    ,X,X,FAIL  ,2010-07-22,19485:26,9480,10620:49,5421,2017-06-06,40422:48,20809,31558:11,16750,"空中再现时,右侧PACK灯亮,复位后熄灭   机组",20937:22,   航后自检ZTC2 有ACT信息  依据AMM21-51-21更换ACT 依据AMM21-51-10更换TCV 结果测试正常     吴昊AF BITE TEST ZTC2 HAVE ACT MESSAGE REF TO AMM21-51-21REPACLE ACT REF TO AMM21-51 REPALCE TCV TEST IS NORMAL,11329,541674-4                ,13231           ,海口维修室,13764,25608.38,20937:22,11329,(AOG)ACTUATOR-EXHAUST                                       ,5031956,00003364
73N,73N01649,5115    ,DE    ,CC    ,541674-4                ,13231           ,21    ,X,X,FAIL  ,2017-06-06,40422:48,20809,22470:38,12086,2017-06-10,40458:54,20831,22506:44,12108,"右组件再现亮,复位后熄灭机组",36:06,"   航后自检ETC2有ACT信息,依据AMM21-51-21-000-801更换右组件ACT作动器测试正常    TAG;7026541     AF accompished the ZTC2 bite hasACT message refer to AMM21-51-21-000-801 repalce the ACT ofR PACK tets ok     党涛",22,541674-4                ,42-5729         ,海口维修室,28051,50518.04,36:06,22,(AOG)ACTUATOR-EXHAUST                                       ,5042926,00003382
73N,73N00972,2159    ,DE    ,CC    ,541674-4                ,11762           ,21    ,X,X,FAIL  ,2011-06-05,32976:11,16361,10867:50,6464,2016-04-03,48701:20,24219,26592:59,14322,,15725:09,"       航后应 MCO-2016-04-03-88 要求, 自检ZTC无故障信息, 检查右组件ACT无损伤完成ACT至ACAU的量线, 结果无异常, 目视检查ACT后部导线有磨损, 由于无料办理 FC201608523 保留, 为进一步判断故障, 更换右组件ACT依据AMM21-51-21 AF FOR MCO-2016-04-03-88 REPAIR BITE ZTC AND NO FUALTSHOW NESSURE THE WING ACT TO ACAU AND RESULT IS NORMAL FOR FURTHERTROUBLESHOOTING REFER TO AMM21-51-21 REPLACE THE RIGHT ACT FOR ACTWINGFOUND DAMAGED OPEN FC201608523 FOR DEFTERED李垦",7858,541674-4                ,13457           ,武汉航达,13805,27156.11,17942:05,8951,(AOG)ACTUATOR-EXHAUST                                       ,3920119,00005418
73N,73N01033,2158    ,DE    ,CC    ,541674-4                ,57-214          ,21    ,X,X,FAIL  ,2014-06-25,42848:16,21220,7772:25,4121,2016-07-06,49719:38,24643,14643:47,7544,航前检查发现左组件PACK灯亮.   葛明坤PF CHECK FOUND THE LEFT PACK LIGHT IS ON,6871:22,"   航前自检ZTC有ACT信息, 无法删除, 依据 AMM21-10 完成更换左组件ACT测试正常, 无故障信息   葛明坤PF TEST ZTC HAS ACT MESSAGE NOT CLEAN REFER AMM21-10 ACCOMPLISH THEASSY ACT TEST IS NORMAL NOT FAULT MESSAGE",3423,541674-4                ,10946           ,海口维修室,27054,42306.59,6871:22,3423,(AOG)ACTUATOR-EXHAUST                                       ,4149575,00005712
73N,73N01015,2157    ,DE    ,CC    ,541674-4                ,11071           ,21    ,X,X,FAIL  ,2009-11-07,27915:42,14002,13507:13,6463,2016-04-15,48526:45,24344,34118:16,16805,,20611:03,"       航后为排除右组件灯亮, RAM AIR MOD CONT RIGHT 跳开关跳出, 复位后,自检ZTC无信息故障, 检查冲压进气门作动无卡滞, 铰链正常, 检查ACT无异常,脱开ACT人工作动门无卡滞, 线路正常, 依据 AMM21-51-21 更换右组件ACT测试正常, 自检ZTC无信息.   宋威FLB00006405A AF CHECK THE RAM AIR INLET ACCRATOR NO FAULT DISCONNECTACT MANUAL ACCUATED WAS NORMAL CHECK THE WIRE WAS NORMAL RAM AIRDOOR NO DAMPING STAGNATION ACCORDING TO AMM21-51-21 REPLACE ACT OFRIGHT PACK TEST NORMAL ZTC BITE NO MESSAGE",10342,541674-4                ,10730           ,武汉航达,19039,37456.49,20611:03,10342,(AOG)ACTUATOR-EXHAUST                                       ,3949781,00006404
73N,73N02042,5180    ,DE    ,CC    ,541674-4                ,10648           ,21    ,X,X,FAIL  ,2014-03-23,25688:07,12797,32565:36,13491,2018-10-05,39026:11,20597,45903:40,21291,,13338:04,    FROM FL 00003502B航后完成DD201841037依据AMM21-51-21更换冲压进气门作动器 测试正常关闭DD201841037   吴昊AF ACCOMSOEIHD DD201841037 REF TO AMM21-51-21 REAPCLE RAM AIR INLETACTUARTOR TEST IS NORMAL CLOSE DD201841037,7800,541674-4                ,16068           ,海口维修室,9154,18944.15,13338:04,7800,(AOG)ACTUATOR-EXHAUST                                       ,6657500,00007295
73N,73N01033,2158    ,DE    ,CC    ,541674-4                ,11944           ,21    ,X,X,FAIL  ,2011-12-20,34724:39,17031,14174:11,7180,2015-12-13,47892:41,23758,27342:13,13907,"机组反映右组件PACK灯亮,可复位.  李旭东CREW REPORT RIGHT PACK ASSY LIGHT OF PACK ON CAN RESET",13168:02, 航后依据 AMM21-51-21 更换右组件ACT测试正常.   李旭东AF REFER TO AMM21-51-21 REPLACE RIGTH PACK ACT TEST NORMAL.,6727,541674-4                ,13186           ,海口维修室,14449,29301.12,13168:02,6727,(AOG)ACTUATOR-EXHAUST                                       ,3640471,00008263
73N,73N00551,5089    ,DE    ,CC    ,541674-4                ,13556           ,21    ,X,X,FAIL  ,2016-05-09,45111:16,27190,20403:40,10520,2017-05-20,47997:07,28587,23289:31,11917,,2885:51,"   航后依据AMM21-51-21-000-801更换冲压门作动器,测试正常,完成MCO-2017-05-21-19 叶航AF refer to AMM21-51-21-000-801 replaced air inlet actuator test itok finished MCO-2017-05-21-19",1397,541674-4                ,13728           ,海口维修室,13982,27960.41,2885:51,1397,(AOG)ACTUATOR-EXHAUST                                       ,4983806,00008687
73N,73N03378,5539    ,DE    ,CC    ,541674-4                ,14378           ,21    ,X,X,FAIL  ,2017-08-20,22057:16,11558,15487:26,8399,2018-01-24,23545:09,12164,16975:19,9005,00010305A,1487:53,"   航后依据AMM21-51-21更换左组件ACT测试正常,关闭DD201803416AF accomplished replace the L pack ACT close DD201803416 test ok王君昭TAG 6007138",606,541674-4                ,10730           ,海口维修室,19039,37456.49,3631:19,1988,(AOG)ACTUATOR-EXHAUST                                       ,5768499,00010312
73N,73N02938,5482    ,DE    ,CC    ,541674-4                ,56-1390         ,21    ,X,X,FAIL  ,2016-05-08,21928:25,11832,29047:48,17047,2018-11-07,28845:45,15516,35965:08,20731,,6917:20, 航后依据AMM21-51-21 更换左组件冲压空气进口作动器 测试正常 高磊 王文龙AF REFER AMM21-51-21 EXCHANGE THE LEFT ACT TEST IS OK,3684,541674-4                ,49-4453         ,海口维修室,48920,102340.53,6917:20,3684,(AOG)ACTUATOR-EXHAUST                                       ,6773085,00012244
73N,73N03382,5538    ,DE    ,CC    ,541674-4                ,9999            ,21    ,X,X,FAIL  ,2013-01-02,7359:18,3929,33185:22,16595,2019-01-18,26194:50,13521,52020:54,26187,,18835:32,   航后依据AMM21-51-21 更换右侧进气门空调作动筒 测试正常 挂签号:0017750完成MCO   刘新熠AF REFER TO AMM21-51-21 REPLACE RIGHT RAM AIR INLET ACTUATOR TEST ISOK FINISH MCO,9592,541674-4                ,9444            ,海口维修室,25994,50479.29,18835:32,9592,(AOG)ACTUATOR-EXHAUST                                       ,7029463,00013794
73N,73N01015,2157    ,DE    ,CC    ,541674-4                ,42-5729         ,21    ,X,X,FAIL  ,2012-09-13,36854:18,18516,30690:47,17469,2017-03-18,51268:44,25749,45105:13,24702,再现左组件PACK灯亮.   马鹏LEFT PACK LIGHT WAS COME ON,14414:26,"    航后自检ZTC1有ACT信息, 依据 AMM21-51 更换左组件ACT故障依旧, 串件证实ZTC故障, 依据 AMM21-61 更换ZTC1 测试正常.  马鹏AF BITE TEST ZTC1 HAS ACT MESSAGE REFER TO AMM21-51 REPLACE THE LEFTPACK ACT THE FAULT STILL MAKE SURE THE ZTC FAILURE WITH EXCHANGE THEFLB00016390A REFER TO AMM21-61 REPLACE THE ZTC1 TEST OK",7233,541674-4                ,14224           ,海口维修室,12271,23911.5,14414:26,7233,(AOG)ACTUATOR-EXHAUST                                       ,4816793,00016389
73N,73N01015,2157    ,DE    ,CC    ,541674-4                ,10730           ,21    ,X,X,FAIL  ,2016-04-15,48526:45,24344,30304:25,15629,2017-09-13,52478:42,26332,34256:22,17617,机组反映右组件灯亮.   唐刚THE CREW REFLECT THE RH PACK LAMP ON,3951:57,"   航后自检ZTC检查ZTC2右ACT信息, 航后依据 AMM21-51-21 更换右组件冲压空气作动器, 并完成相关测试正常, 无故障信息.   唐刚AF BITE ZTC CHECK ZTC2 HAVE ACT MESSAGE ACCOMPLISH TO AMM21-51-21REPLACE THE RAM AIR INLET ACTUATOR AND FINISHED THE TEST",1988,541674-4                ,103-6159        ,海口维修室,38621,66098.06,3951:57,1988,(AOG)ACTUATOR-EXHAUST                                       ,5329753,00022028
