机型,制造序列号,机号,参考类型,件号,序号,件号描述,装上件号,装上序号,安装日期,拆换日期,章节号,部件装上使用小时数,部件装上使用循环数,部件拆下使用小时数,部件拆下使用循环数,部件本次装机使用小时,最近送修公司,送修至拆下时间/FH,送修至拆下时间/CY,故障描述,故障处理,拆换原因
73N,73N02373,5346    ,DE    ,3505945-12              ,GRTF0394        ,STARTER ASSY                                                ,3505945-12              ,GRT11068        ,2016-06-09,2019-06-19,80    ,26185:23,13154,34922:14,17759,8736:51,武汉航达,8736:51,4605,左发起动机失效        黄长辉LH startal pail,"       航后检查起动机叶片有掉块，检查磁堵和滑油回油滤，未见异常无其它损伤依据AMM80-11-01-400-801-F00更换左发起动机测试正常无渗漏梁金贵  /   DIC黄长辉AF check the blake of LH stator broken check the MCD and seamegonfiltor is ok ,no other damages replace stador of LH ENG byAMM80-11-01   ( FLB11719054A ) test ok ,no leakage封圈： S3225-160  封圈：S3225-222 封圈：AS1895-7-325封圈： J221P027(3EA)  回油滤：65-90305-86   封圈：M83248-2-905",FAIL  
73N,73N06025,7988    ,DE    ,3505945-11              ,GRTA4105C       ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA5153C       ,2017-08-15,2019-06-18,8011  ,46662:30,24334,52789:46,27223,6127:16,北京丰荣,6127:16,2889,"启动左发时EGT到100度左右听到一声异响，之后EGT不上升并且白框闪烁。第二次启动时N2不上升，请排故A strange sound is heard around 100 degrees when starting the leftengine, after which the EGT does not rise and the white box flashes，N2 does not rise on the second boot ，Please line fault机组",   航后依据AMM80-11-01更换左发起动机，检查测试正常，挂签号：3836450AF refer AMM80-11-01 replace left engin ，check it normal，TAG :3836450吴化江,FAIL  
73N,73N03344,5520    ,DE    ,3505945-12              ,GRTF7196        ,STARTER ASSY                                                ,3505945-12              ,GRTF3788        ,2018-07-09,2019-06-15,80    ,18290:20,9593,20832:35,10876,2542:15,武汉航达,, ,右发起动机崩溃性损伤.  覃海波RIGHT ENGINE STARTER BREAK DOEN.,"             航后依据AMM80-11-01更换起动机，发现花键腔大量金属碎屑，依据AMM80-11-02 拆检起动机QAD适配器后部有碎屑，起动机磁堵大量金属碎屑，依据AMM79-0000-200-804-F00拆检MCD,发现AGB/TGB磁堵有大量金属碎屑,依据AMM80-11-2安装QAD适配器，依据AMM12-13-11-100-801冲洗滑油系统一遍，试车测试起动机正常无渗漏。依据AMM79-00-00-200-804-F00拆检MCD AGB/TGB磁堵仍有金属碎屑，依据AMMTASK12-13-11-100-801再次冲洗滑油系统四遍，试车测试再次检查MCD无金属碎屑。依据AMM79-21-03/401更换滑油供油滤，依据AMM79-21-06/401更换滑油回油滤。试车员：尹菁 毛梁AF REFER TO AMM80-00-01 REPALCED THE STARTER AND TEST OK NO LEAKAGECLEAN THE QAD DAPTER AND REINSTALLED IT.REFER TO TASK79-00-00-200-804-F00 FLUSH ENGINE 2 OIL SYSTEM.REFER TO AMM79-21-03 REPLACED THE OILSUPPLY FILTER.REFER TO AMM79-21-06 REPLACED THE SCAVENGE OIL FILTERAND CHECK OK,NO LEAKAGE.        李威威     互检：曹驰",FAIL  
73N,73N04716,5855    ,DE    ,3505945-12              ,GRTA9007        ,STARTER ASSY                                                ,3505945-12              ,GRTF1856        ,2018-09-25,2019-06-04,8011  ,38248:43,19611,40252:04,20595,2003:21,霍尼韦尔,2003:21,984,,"      航后完成QZ-80-010-02-01详细检查右发起动机磁堵是否有金属碎屑.发现金属屑,不符合工卡要求,依据AMM80-11-01.更换起动机,检查正常.无渗漏. AFaccomplish QZ-80-010-02-01 detail inspection of right engine startermagnetic chip detector for metal chips.found chips not in standardrefer to AMM80-11-01 replace the starter,check normal. no leakage.封圈/packing PN:M83248-1-008 封圈/packing PN:S3225-160 封圈/packingPN:S3225-222",FAIL  
73N,73N04904,5823    ,DE    ,3505945-12              ,GRTF7419        ,STARTER ASSY                                                ,3505945-12              ,GRTA7564        ,2019-04-06,2019-04-24,8011  ,19132:28,9935,19278:27,10031,145:59,霍尼韦尔,145:59,96,航后发现右发起动机磁堵无法拔出  侯泽召AF FOUND THE RIGHT ENGINE STARTER MAGRETIC CHIP DETECTOR FAULT,   依据AMM80-11-01 更换右发起动机 依据AMM71-00-00 完成慢车测试 结果正常REFER TO AMM80-11-01 REPLACE THE RIGHT ENGINE STARTER AND REFER TOAMM71-00-00 RUNNING TEST IT THE RESULT IS NORMAL侯泽召,FAIL  
73N,73N02648,5375    ,DE    ,3505945-12              ,GRTF3827        ,STARTER ASSY                                                ,3505945-12              ,GRTF5551        ,2017-02-14,2019-04-02,8011  ,20826:41,10539,26964:46,13601,6138:05,武汉航达,6138:05,3062,二发起动起动失效.   周贤能NO 2 engine start fail,"  依据AMM80-11-01 更换右发起动机,检查正常.未完成测试.   周贤能refer AMM80-11-01 replace engine NO.2 start check normal hasnot run the engine to test",FAIL  
73N,73N02831,5429    ,DE    ,3505945-12              ,GRTA2873C       ,STARTER ASSY                                                ,3505945-12              ,GRT40592        ,2019-01-10,2019-03-14,8011  ,53139:43,26534,53605:32,26778,465:49,芜湖双翼,3439:44,1852,,     航后完成工卡QZ-H80-11-01-001检查左发起动机有无滑油渗漏.结果发现有滑油渗漏.请后续处理.叶少冬 AF ACCOMPLISH TASK QZ-H80-11-01-001 CHECKENGINE STARTER FOR OIL LEAK-LEFT ENGINE the result found the oil leakFROM FLB 11651435A依据手册AMM80-11-01更换左发启动机并完成滑油勤务工作.张生龙 AF REFERTO AMM80-11-01 repalce LH ENG started accomplish oill servicing,FAIL  
73N,73N04596,5798    ,DE    ,3505945-12              ,GRTF9210        ,STARTER ASSY                                                ,1851M36P12              ,GRT31094        ,2019-01-29,2019-03-06,8011  ,15256:23,7779,15567:20,7922,310:57,武汉航达,310:57,143,检查右发起动机有滑油痕迹。   邓巍CHECK THE RIGHT ENG STARTER HAD OIL.,"  依据AMM80-11-01更换右发起动机，检查正常无渗漏。REF AMM80-11-01 REPLACE THE RIGHT ENG STARTER,CHECK IT OK,NO LEAKAGE.邓巍、互检：毛梁、试车：毛梁",FAIL  
73N,73N03713,5581    ,DE    ,3505945-12              ,GRTF5551        ,STARTER ASSY                                                ,3505945-12              ,GRTF0604        ,2017-12-13,2019-03-01,8011  ,18984:40,9777,22479:35,11528,3494:55,北京丰荣,3494:55,1751,左发起动机漏滑油。THERE IS OIL LEAKAGE FROM ENG1 STARTER.           覃海波,"   航后依据AMM80-11-01更换左发起动机试车测试正常无渗漏。AF REFER TO AMM80-11-01 REPLACE ENG1 STARTER ENGINE RUGINE TEST OK,NO LEAKAGE PUT THE AIRNAFT BACK NORMAL.       覃海波  互检：赵杰试车：毛梁",FAIL  
73N,73N03186,5503    ,DE    ,3505945-12              ,GRTF6111        ,STARTER ASSY                                                ,1851M36P12              ,GRT11617        ,2018-02-21,2019-02-19,8011  ,18073:12,9604,20622:23,11332,2549:11,霍尼韦尔,2549:11,1728,左发起动机叶片断裂。张庆海LH ENG STARTER BLADE BROKEN.,"   航后依据AMM80-11-01与B-1435对串左发起动机，试车测试正常，无渗漏，检查起动机磁堵AGB/TGB磁堵无碎屑。张庆海 试车员：卢贤明 互检：卢贤明AF REF AMM80-11-01 CHANGE L/H ENG STARTER WITH B-1435,ENG TESTOK,NO LEAK,CHECK STARTER AND AGB/TGB MAGNETIC PLUGS NO DETRITUS.",CAN   
73N,73N00607,2651    ,DE    ,3505945-12              ,GRTF3253        ,STARTER ASSY                                                ,3505945-11              ,GRTA1788C       ,2019-01-03,2019-01-31,8011  ,27379:54,14195,27474:26,14246,94:32,北京丰荣,3988:19,2234,,"左发起动机损坏,需更换。   WOH73N 20085",SCH   
73N,73N03299,5735    ,DE    ,3505945-12              ,GRTF0604        ,STARTER ASSY                                                ,3505945-11              ,GRTA1332C       ,2016-09-21,2019-01-21,8011  ,28806:52,15026,35410:36,18454,6603:44,武汉航达,6603:44,3428,执行WOLM工卡检查右发起动机，发现磁堵无法拆下 苏建宏PERFONMING VOLM TEST CHECKED R/H ENG STARTOR FOUND THE MAGNET PLUGFAIL TO REMOING,   依据AMM80-11-01更换右发起动机，并试车完成相关测试，无渗漏功能正常REFTERED TO AMM80-11-01 REPLACE RH ENG STARTER AND RUN ENG TOACCOMPLISHED RELATED TEST NORMAL NO LEAK  苏建宏封圈：M83248-2-905  封圈：S3225-222 封圈：S3225-160,FAIL  
73N,73N01800,5141    ,DE    ,3505945-11              ,GRTA2490C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF1573        ,2015-09-26,2019-01-12,80    ,00:00,0,9319:40,4906,9319:40,,, ,航后检查发现左发起动机一螺钉损坏. 汪浩AF check and find left engine starter one bolt broken,  航后依据AMM80-11-01.更换左发起动机.试车检查正常.无渗漏.   汪浩AF refer AMM80-11-01 replace left engine starter runningtest OK no leakage,FAIL  
73N,73N04760,1927    ,DE    ,3505945-12              ,GRTF9210        ,STARTER ASSY                                                ,1851M36P12              ,GRTF8778        ,2018-11-16,2019-01-07,8011  ,14906:15,7604,15256:23,7779,350:08,霍尼韦尔,, ,,"        航后完成工卡QZ-80-010-01-01，详细检查左发动机磁性堵塞是否有金属屑，发现有金属碎屑，依据AMM80-11-01更换左发起动机，测试正常，试车员：梁金贵AF accomplished jobcard QZ-80-010-01-01,check LH enginestarcer mignetic chip detector found metal chips ref AMM80-11-01replace left engine starter，test normal  董剑鸣DIC:潘健生封圈pack：S3225-160封圈pack：S3225-222封圈pack：M83248-1-008",FAIL  
73N,73N03783,5611    ,DE    ,3505945-12              ,GRT23201        ,STARTER ASSY                                                ,1851M36P12              ,GRTF8389        ,2017-10-04,2019-01-02,8011  ,2085:30,974,5812:18,2772,3726:48,霍尼韦尔,, ,航后检查左发起动机漏油。AF FOUND THE LEFT STAR OIL LEAR.          李威威,"  航后依据AMM80-11-01，更换起动机，后续需要完成试车验证。AF REFER TO AMM80-11-01，REPLACED STAR, FUR THER RUN ENG UP.李威威  必检：佘国程    互检：佘国程",FAIL  
73N,73N02981,5481    ,DE    ,3505945-12              ,TMPGE-41053     ,STARTER ASSY                                                ,1851M36P12              ,GRT37046        ,2018-10-03,2018-12-23,8011  ,00:00,0,546:45,274,546:45,,, ,,"   航后完成借件拆还，依据AMM80-11-01更换右发起动机。 李远 AF ref toAMM80-11-01 replace the R/H engine stater FLB:11654699B航后依据AMM71-00-00运转右发慢车无渗漏运转正常。谢成龙
AF ref AMM71-00-00 run R ENG idle no leakage check OK",SCH   
73N,73N01033,2158    ,DE    ,3505945-11              ,GRTA1788C       ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRTF9449        ,2018-08-11,2018-12-10,80    ,47634:15,26868,48442:57,27145,808:42,北京丰荣,808:42,277,,检查发现左发起动机本体一螺钉断裂，需更换起动机。  WOH73N 19601,FAIL  
73N,73N05981,7619    ,DE    ,3505945-10              ,GRTF5309        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA2711C       ,2018-09-13,2018-10-27,8011  ,24:19,14,377:44,199,353:25,,, ,,"    航后依据AMM80-11-01 更换右发起动机 依据AMM71-00-00 慢车渗漏检查.无渗漏结果正常,AF refer to AMM80-11-01 replace rh engine starter refer AMM71-00-00idle power  leakage test the result is ok屈永辉    检验:党涛",FAIL  
73N,73N01291,5249    ,DE    ,3505945-12              ,GRTF5733        ,STARTER ASSY                                                ,1851M36P12              ,GRTF8589        ,2018-05-19,2018-10-27,73    ,18275:39,9256,19541:46,10231,1266:07,霍尼韦尔,1266:07,975,"航后检查左发起动机本体，两颗螺钉断裂 AF Check left engine body afterflight, two screws are broken 潘仕伟","     航后依据AMM80-11-01更换左发起动机，测试正常，挂签号：0060893 AFChange left initiator after flight according to amm80-11-01, , testnormal, register number: 0060893 潘仕伟 
PN:S3225-160
PN:AS3209-222
PN:AS3581-905
",FAIL  
73N,73N06166,1545    ,DE    ,3505945-12              ,GRT15551        ,STARTER ASSY                                                ,3505945-12              ,GRTF4240        ,2018-05-08,2018-09-14,8011  ,3700:18,1965,4751:57,2531,1051:39,霍尼韦尔,, ,航后检查发现右发启动机磁堵有金属屑  张国栋AF CHECK AND FIND R STARTER HAVE METAL IN MEG CHIPS,"    航后依据AMM80-11-01更换启动机，并检查AGB磁堵均正常，试慢车测试启动机正常，无渗漏  张国栋/许宗亮AF REFER TO AMM80-11-01 REPLACE THE STARTER, CHECK AGB, THE RESULT ISNORMAL, IDLE ENGINE TEST THE STARTER IS NORMAL, NO LEAK封圈：S3225-160   S3225-222",CAN   
73N,73N05132,1733    ,DE    ,3505945-12              ,GRT34456        ,STARTER ASSY                                                ,3505945-12              ,GRTF6199        ,2018-06-15,2018-09-12,8011  ,00:00,0,638:12,332,638:12,,, ,, 因客户需求，左发起动机借件拆还。WOH73N 18126,FAIL  
73N,73N00972,2159    ,DE    ,3505945-12              ,GRTF3936        ,STARTER ASSY                                                ,3505945-12              ,GRTF2111        ,2017-01-13,2018-08-07,8011  ,20826:41,10539,25188:37,12614,4361:56,北京丰荣,4361:56,2075,启动1发不成功，拖回排故机组,"    航后依据AMM80-11-01检查起动机磁堵正常，依据AMM80-11-01更换起动机，测试正常AF REFER TO AMM80-11-01 CHECK STARTER MAGNETIC PLUG IT IS OK,REFERTO AMM80-11-01 REPLACED STARTER TEST IT OK,TAG:0003795徐龙祥/祝党科",FAIL  
73N,73N00345,2647    ,DE    ,3505945-12              ,A5064C          ,STARTER ASSY                                                ,1851M36P12              ,GRTF8325        ,2017-05-19,2018-07-11,8011  ,41986:51,21728,44874:35,23422,2887:44,武汉航达,2887:44,1694,航后执行工卡QZ-H80-11-01-001时发现起动机缺少一颗螺钉AF accomplshing task QZ-H80-11-01-001，found LESS an SCREW杨磊,      航后依据AMM80-11拆下左发启动机AF refer to AMM80-11 removed the left engine starter杨磊见FLB11363278航后依据AMM80-11安装左发启动机，测试正常AF refer to AMM80-11 install the left engine starter test ok余伟,FAIL  
73N,73N00607,2651    ,DE    ,3505945-12              ,GRTA2711C       ,STARTER ASSY                                                ,3505945-12              ,GRTA9246        ,2016-04-02,2018-06-25,80    ,3064:28,868,9526:37,4331,6462:09,北京丰荣,6462:09,3463,航后检查1发起动机堵头漏油.张奥博AF check and found the starter of engine 1 leak,"    航后依据AMM80-11-01将B-5520飞机右发启动机串至B-2651左发试车验证正常,无渗漏.张奥博/陶旭     试车员:吴建军AF refer to AMM80-11-01 swap the starter of B-5520 engine 2 to theengine 1 of B-2651  test it is OK备注:与张奥博确认2651启动机退库房",CAN   
73N,73N02938,5482    ,DE    ,3505945-11              ,GRTA1788C       ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRT16994        ,2016-08-25,2018-06-19,8011  ,42672:10,24228,47634:15,26868,4962:05,北京丰荣,4962:05,2640,,  检查发现B-5482左发启动机螺钉断裂，从B-7619飞机右发串启动机。CHECK AND FOUND THE SCREW OF THE AIRCRAFT B-5482 ENGINE STARTERDAMAGE NEED TO SWAP THE STARTER FROM B-7619.,CAN   
73N,73N03889,5636    ,DE    ,3505945-12              ,GRTF1573        ,STARTER ASSY                                                ,3505945-12              ,GRTF6352        ,2017-10-14,2018-05-24,8011  ,28801:46,15058,30584:19,15846,1782:33,武汉航达,1782:33,788,"右发起动过程中,N2消失再次尝试起动N2不上升.  机组","    按AMM12-13-11-100-801完成右发滑油系统不工作,更换右发滑油回油滤,按AMM80-11-01更换右发起动机,检查磁堵无碎屑,检查放油口无渗漏.KHN机务ref to AMM12-13-11-100-801 do flush ENG oil system,replace oilreturn filter,ref to AMM80-11-01 replace ENG starter check clipdectector is no netalic clip and no oil leakage",FAIL  
73N,73N02668,5405    ,DE    ,3505945-12              ,GRT06766        ,STARTER ASSY                                                ,1851M36P12              ,GRT06025        ,2016-12-09,2018-05-20,8011  ,3838:57,2003,8006:15,4187,4167:18,霍尼韦尔,6554:14,3430,航后检查发现右发起动机磁堵底座漏油，蒋祁郴 AF check and found leakagein magnetic plug house of RH engine starter,   航后依据AMM80-11-01更换右发起动机 试车测试正常.无渗漏.蒋祁郴试车员：吴建军 AF refer to AMM80-11-01 repalce the RH engine starterand no leakage is fault the result is normal 封圈PN:S3225-160封圈PN:S3225-222,FAIL  
73N,73N05612,7105    ,DE    ,3505945-10              ,GRTF5309        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRT30235        ,2018-04-13,2018-04-20,8011  ,00:00,0,24:19,14,24:19,,, ,启动机借件拆还。陈金盛STARTER REMOVE AND TURN IT BACK.,"  航后依据AMM80-11-01更换左发启动机，检查正常，无渗漏。陈金盛互检：叶明海AF REF TO AMM80-11-01 REPLACE LH ENGINE STARTER,CHECK OK,NO LEAKAGE.",SCH   
73N,73N03733,5620    ,DE    ,3505945-12              ,GRTF6199        ,STARTER ASSY                                                ,1851M36P12              ,GRTF5389        ,2018-03-11,2018-04-09,8011  ,17023:49,8773,17266:15,8874,242:26,霍尼韦尔,242:26,101,航后完成工卡QZ-80-010-01-01发现左发起动机有金属屑    屈永辉AF ACCOMPLSIHED SUBTASK QZ-80-010-01-01 FIND LEFT ENGINE STARTERHAVE MAGNETIC PARTS IDES,"    航后依据AMM80-11-01更换左发起动机,试车测试检查无渗漏,结果正常屈永辉     试车员:刘飞AF REF AMM80-11-01 REPLACE LEFT ENGINE STARTER AND RUNNINGUP TEST NO LEAKGE THE RESULT IS OK封圈:S3225-222 S3225-160",FAIL  
73N,73N06148,7887    ,DE    ,3505945-12              ,GRT23260        ,STARTER ASSY                                                ,3505945-12              ,GRTA7780        ,2016-10-24,2018-03-17,80    ,00:00,0,4263:01,2081,4263:01,,, ,LH ENG START FAIL左发启动失效," IAW AMM80-11-01 REPLACED L/H ENG STARTER,CHK NML依据AMM80-11-01更换左发启动机，检查正常。徐叶望",FAIL  
73N,73N03733,5620    ,DE    ,3505945-12              ,GRTF6352        ,STARTER ASSY                                                ,3505945-12              ,GRTF6199        ,2018-02-05,2018-03-11,8011  ,17137:45,8678,17401:58,8780,264:13,霍尼韦尔,264:13,102,空中发现左发漏滑油，持续漏，最低值未6 机组,"                  航后依据FIM79-08TASK801及AMM79-00-00-200-800-F00完成左发滑油部件外部渗漏检查尺清洁所有滑油痕迹，结果正常，依据AMM810-11-01-000-801-F00拆下起动机及其磁堵，发现起动机内有滑油，起动机花键轴及磁性正常，检查三个收油池磁性正常，依据AMM80-01-400-801-F00完成起动机安装，试车验证，检查无渗漏，滑油量左发18夸脱，右发18夸脱，试车员潘阳 刘建亮P/N OFF 53225-160   P/N ON 53225-160P/N OFF 53225-222   P/N ON 53225-222FLB11421026FROMFLB11421023B挂签号 7022701According to fim79-08task801 and amm79-00-00-200-800 -F00.All grease marks are cleaned by external leakage inspection ruler oflubricating oil parts. The results are normal and valid.Amm810-11-01-remove the starter and its magnetic block, and find the starter.Lubroil, starter spline shaft and magnetic normal, check three oil tank mnormal, according to.Amm80-01-400-801-f00 complete the starter instaltest the test, check no leakage, lubricating oil quantity.18 quartson the right, pan Yang, the test driver. TAG:7022701",WOR   
73N,73N03733,5620    ,DE    ,3505945-12              ,GRT25185        ,STARTER ASSY                                                ,3505945-12              ,GRTF6352        ,2017-08-21,2018-02-05,8011  ,582:38,310,2007:37,1082,1424:59,霍尼韦尔,1424:59,772,,检查发现左发启动机叶片排气口漏油。  5620飞机  WOH73N 17140,FAIL  
73N,73N03713,5581    ,DE    ,3505945-12              ,GRT22675        ,STARTER ASSY                                                ,3505945-12              ,GRTF5551        ,2017-08-24,2017-12-13,8011  ,2753:13,1439,3592:05,1965,838:52,霍尼韦尔,, ,,检查发现左发起动机本体漏油。  5581飞机   WOH73N 16848,FAIL  
73N,73N06080,7989    ,DE    ,3505945-12              ,GRTA2061C       ,STARTER ASSY                                                ,3505945-12              ,GRTF1620        ,2017-07-21,2017-11-20,8011  ,46475:46,33490,47541:07,34018,1065:21,武汉航达,1065:21,528,,    发件人: 吴艺玮发送时间: 2017年12月4日 15:17收件人: 海航技术（云南）-MCC数据采集主题: B-7989问题数据根据以上邮件以及航材挂签处理问题数据,FAIL  
73N,73N00731,2652    ,DE    ,3505945-12              ,GRTF2125        ,STARTER ASSY                                                ,3505945-12              ,GRTA2873C       ,2016-04-19,2017-11-17,8011  ,21584:12,11461,26174:54,14064,4590:42,北京丰荣,4590:42,2603,左发启动不成功 The LH engine starter failure 朱有光,"   检查左发启动机叶片断裂,检查起动机磁堵有大量金属屑,依据AMM80-11-01更换左发起动机,并完成相关检查无渗漏,磁堵干净无碎屑 Check the LHengine starter blade was broken,refer to AMM80-11-01 replaced thestarter and test normal 朱有光 封圈packing:AS3209-008",FAIL  
73N,73N02769,5418    ,DE    ,3505945-12              ,GRTF6193        ,STARTER ASSY                                                ,3505945-11              ,GRTA4639C       ,2017-11-15,2017-11-15,80    ,16346:32,8333,16346:32,8333,00:00,武汉航达,00:00,0,,依据查件单完善数据  2018-02-24 08:05,SCH   
73N,73N04115,5685    ,DE    ,3505945-12              ,GRT05837        ,STARTER ASSY                                                ,3505945-12              ,GRTF5498        ,2016-05-04,2017-11-07,8011  ,2382:11,1203,6790:02,3542,4407:51,霍尼韦尔,, ,,   航后完成MCO 依据AMM80-11-01 更换左发启动机 测试正常无渗漏TAG7060946AF ACCOMPLISHED MCO REF AMM80-11-01 REPLACED STAFEWR OF CLH ENGRUN L/H FNG TEST OK NOLECKAGE   试车刘飞  党涛  屈永辉,FAIL  
73N,73N02265,5409    ,DE    ,3505945-12              ,GRTF6421        ,STARTER ASSY                                                ,3505945-12              ,GRTF5015        ,2017-08-30,2017-11-03,8011  ,16856:30,8796,17454:21,9089,597:51,武汉航达,597:51,293,航后因检查起动机磁堵发现磁堵无法拔出(肖俊)AF DUE TO THE PLUG FIND PLUG INOP,  航后依据AMM80-11-01更换右发起动机 依据AMM71-00-00试车测试正常(肖俊)AF REFER TO AMM80-11-01 REPLACE THE STARTER TEST IS OK,FAIL  
73N,73N03783,5611    ,DE    ,3505945-11              ,A5361           ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRT23201        ,2017-08-22,2017-10-04,8011  ,42199:30,21267,42586:45,21444,387:15,北京丰荣,387:15,177,, 执行工卡QZ-80-010-01-01 检查发现左发起动机金属屑超标，需更换5611飞机  WOH73N 16136,SCH   
73N,73N04118,1906    ,DE    ,3505945-12              ,GRTF1489        ,STARTER ASSY                                                ,3505945-12              ,GRTF0607        ,2017-01-29,2017-08-23,8011  ,27246:34,14255,29099:35,15262,1853:01,北京丰荣,1853:01,1007,"左发启动失效，检查启动机磁堵AGB磁场有碎屑。朱嘉鑫L ENG START FAIL,INSPECTED STARTER MAGNETIG PLUG AND AGB MAGNETIG,FOUND CHIPPINGS.","     航前依据AMM80-11-01拆下左发启动机，检查花键和QAD正常，为保障航班运行，将5430飞机左发启动机串至1906左发，依据AMM12-13-11完成左发滑油系统清洗，测试正常。朱嘉鑫PF REF  AMM80-11-01 REMOVED THE STARTER OF L ENG,CHECK THE SPLINEAND QAD FOR STARTER WAS NORMAL,TOTO[FLB00018026A]",SWAP  
73N,73N02827,5430    ,DE    ,3505945-12              ,GRTF1489        ,STARTER ASSY                                                ,3505945-11              ,20170527A       ,2017-08-23,2017-08-23,73    ,29099:35,15262,29099:35,15262,00:00,北京丰荣,1853:01,1007,,"   为判断1906左发启动机故障，将本机左发启动机串到1906排故，更换重新安装新件，测试正常。罗送明 BECAUSE JUDGE 1906 STARTER FAULT,DO THE 5430 INTERCHANGE L/H ENG STARTER,REPLACED NEW PART,TEST OK.",FAIL  
73N,73N02691,5403    ,DE    ,3505945-12              ,GRTF1573        ,STARTER ASSY                                                ,1851M36P10              ,GRTF3037        ,2017-05-17,2017-08-15,8011  ,27942:02,14601,28801:46,15058,859:44,武汉航达,859:44,457,8月15日在珠海推出飞机后顺利启动二号发动机，但一号发动机启动店门放到地面位后无NZ转速,"  IAW AMM80-11-01 REPLACED THE STARTER OF ENG ONE RUN THE ENG ONE,TEST OK.依据AMM80-11-01更换1发起动机，试车测试正常陈勇",FAIL  
73N,73N02885,5467    ,DE    ,3505945-12              ,GRTF9463        ,STARTER ASSY                                                ,3505945-11              ,GRTA2037C       ,2017-07-20,2017-08-11,8011  ,00:00,0,189:17,107,189:17,,, ,航后自检EEC1有DMS requires inspection 79-31141信息AF bite EEC1 had message DMS requires inspection 79-31141周兰官,      航后依据FIM79-21TASK808排故，依据AMM79-00-00-200-804-F00检查磁堵，发现AGB/TGB和前收油池有金属屑，已送去检验 AF refer to FIM79-21TASK808troubleshooting，refer to AMM79-00-00-200 -804-F00 chip detectorsinspection，found some Metal debris，send to check 周兰官FLB11233383B 航后依据AMM80-11-01更换起动机，测试正常，TAG:7042270 AFrefer to AMM80-11-01 replaced the starter，test it ok 徐龙祥试车：赵星,FAIL  
73N,73N06025,7988    ,DE    ,3505945-12              ,GRT25185        ,STARTER ASSY                                                ,3505945-12              ,GRTF1620        ,2017-05-28,2017-06-20,8011  ,403:21,218,582:38,310,179:17,霍尼韦尔,179:17,92,航后完成工卡发现左发起动机有金属屑(王炜捷)AF CHECK THE MAGICETIC IN STARTER,"  航后依据AMM80-11更换左发起动机,试车检查正常 无渗漏(王炜捷)AF REFER TO AMM80-11 REPLACE THE STARTER TEST IS OKTAG:F014691",FAIL  
73N,73N02459,5359    ,DE    ,3505945-12              ,GRTF1969        ,STARTER ASSY                                                ,3505945-12              ,GRTF2240        ,2017-04-21,2017-06-13,8011  ,25105:40,12853,25599:01,13106,493:21,武汉航达,, ,,"    航后完成工卡QZ-80-010-02-01详细检查右发起动机磁性堵塞是否有金属碎屑,金属碎屑超标,更换右发起动机勤务起动机油500ML,试车检查无碎屑,结果符合要求 王立AF accomplished job card QZ-80-010-02-01 detail inspect the NO.2ENGStarter MCD for metal chips no particles found.",FAIL  
73N,73N00345,2647    ,DE    ,3505945-10              ,GRTF5498DELETE  ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,A5064C          ,2017-05-19,2017-05-19,8011  ,18433:47,9403,18433:47,9403,00:00,上海普惠,, ,,     根据MAOTS711803需恢复左发起动机。发件人: 大连航线生产准备席发送时间: 2017年5月28日 0:56收件人: 太原MCC控制席抄送: 海口定检数据采集席主题: 回复: 转发: 今晚2647今晚在太原航后，请帮忙下发一下查件单,SCH   
73N,73N02973,5480    ,DE    ,3505945-12              ,GRTA7300        ,STARTER ASSY                                                ,3505945-12              ,GRTF4137        ,2016-02-17,2017-05-08,8011  ,11347:01,5262,14871:29,7132,3524:28,北京丰荣,3524:28,1870,,检查发现左发起动机失效。需更换,FAIL  
73N,73N03095,5462    ,DE    ,3505945-12              ,GRT05219        ,STARTER ASSY                                                ,3505945-12              ,GRTF4253        ,2015-11-13,2017-04-18,8011  ,2674:17,1318,7201:13,3680,4526:56,霍尼韦尔,4526:56,2362,左发启动部不成功. N2不上升.   杜定杰LH ENGINE START FAIL N2 NOT UP,"          航前检查左发起动机磁堵有大量金属屑, 检查启动机发现叶片断裂, 检查前,后及附件收油池磁堵, 无金属屑, 依据 AMM80-11 更换左发起动机, 试车验证正常, 再次检查磁堵(四个)均正常无金属屑. 由于更换起动机, 办理FC201710415  杜定杰PF CHECK LEFT ENGINE STARTER MAGNOTIC PLUG FIND MUCH MAGNETIC PARTICLES ANDFLB10938474A CHECK THE VANL OF ENGINE STARTER DAMAGED CHECK THE FWD/AFT/AGB SUMP MAGNETIC PLUG DO NOT FIND MAGNETIC PORTIDES REFERAMM80-11-01 REPLACE THE ENGINE STARTER RUN ENG1 TEST NORMAL CHECKALL THE MAGNETIC PLUGS ALL NORMAL BECAUSE REPLACE ENGINE STARTER OPEN封圈  S3225-160/S3225-222/AS1895-7-315/J221P027 6EA/M83248-1-008 4EA",FAIL  
