机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,23173           ,21    ,X,X,FAIL  ,2017-04-18,38394:27,19719,4276:15,2109,2017-05-18,38634:39,19851,4516:27,2241,航后检查右组件灯亮 AF check find r pack is on 杨旭,240:12,"  航后自检ZTC2 有TCV信息,依据AMM21-51-10更换右组件TCV,自检ZTC2正常 AFbite ztc2 there is a tcv message refer to AMM21-51-10 replaced  packtcv and bite ztc2 the result is normal 杨旭",132,398908-3                ,10523           ,海口维修室,17415,33408.16,, ,(AOG)VALVE                                                  ,4975815,00006071
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,23711           ,21    ,X,X,FAIL  ,2016-11-14,37029:15,18651,4748:03,2543,2017-08-09,39303:10,20253,7021:58,4145,,2273:55,"   为排除客舱前后温度不一致故障,航后依据AMM21-61-21更换前舱配平空气活门,测试正常   for troubleshooting the different between FWD and AFTcabin femperature refer to AMM21-61-21 repalce TRIM air modulatingtets ok   尚超",1602,398908-5                ,25476           ,海口维修室,5257,9081.36,, ,(AOG)VALVE                                                  ,5217637,00006816
73N,73N01649,5115    ,DE    ,CC    ,398908-5                ,27301           ,21    , , ,SWAP  ,2016-07-04,37850:23,19023,04:50,2,2018-11-08,44894:54,23619,7049:21,4598,驾驶舱温度忽冷忽热Flight compartment temperature hot or cold屈永辉,7044:31,"    航后依据AMM21-61-21 将本机后舱配平活门与左组件TCV对串,自检ZTC无信息.活门无渗漏,检查混合总管相关管道连正常无破损AF refer to AMM21-61-21 change AFT cabin tav to left tcv biteztc no messge no leakage of valve check main dact no broken屈永辉",4596,398908-3                ,2977            ,,33794,63452.58,, ,(AOG)VALVE                                                  ,6777795,00007280
73N,73N02938,5482    ,DE    ,CC    ,398908-5                ,23508           ,21    ,X,X,FAIL  ,2017-01-10,23825:23,12965,5077:46,2606,2017-06-22,24978:03,13613,6230:26,3254,,1152:40,"   航后完成MCO-2017-06-22-153,依据AMM21-51-10更换右组件TCV,测试正常王君昭AF accomplished MCO-2017-06-22-153 refer to AMM21-51-10 repaled theright pack TCV test ok",648,398908-3                ,6515            ,海口维修室,27307,53881.36,, ,(AOG)VALVE                                                  ,5077436,00008006
73N,73N05655,6995    ,DE    ,CC    ,398908-5                ,25346           ,21    , , ,SWAP  ,2015-10-27,00:00,0,00:00,0,2016-05-12,1580:52,759,1580:52,759,发现左组件灯亮.   机组Find left puck light on,1580:52,"   航后ZTC自检有TCV故障信息,复位后为检测真实性,与后侧客舱配平活门对串对串再次自检ZTC无信息.测试正常无渗漏.     黄亚伟AF do the ZTC BITE had TCV message it's can reset change to the AFTcabin valve do ZTC BITE again no messaged test ok no leakage",759,398908-5                ,25339           ,,4113,8682.46,, ,(AOG)VALVE                                                  ,4015711,00008554
73N,73N05655,6995    ,DE    ,CC    ,398908-5                ,25346           ,21    ,X,X,FAIL  ,2016-05-12,1580:52,759,1580:52,759,2016-05-13,1591:02,763,1591:02,763,FROM FLB00008554A,10:10,"    航后为近一步排除左组件PACK灯亮, 依据 AMM21-61-21 更换后舱配平活门自检ZTC无故障信息, 测试空调工作正常.  王秉奎AF To PACK light on further exclude left components, on the basisof AMM21 61-21 - aft balancing valve self-checking ZTC trouble-freeinformation, testing the air conditioning work.",4,398908-5                ,22429           ,,5066,10304.56,, ,(AOG)VALVE                                                  ,4017728,00008559
73N,73N00731,2652    ,DE    ,CC    ,398908-5                ,26888           ,21    ,X,X,FAIL  ,2017-07-06,53344:00,28281,2045:26,879,2017-07-08,53359:28,28289,2060:54,887,,15:28,"   航后依据AMM21-61-21更换前舱配平活门,测试正常完成MCO-2017-07-07-244杨震AF refer to AMM21-61-21 repalced the forward passenger valve andtext is ok accomplished MCO-2017-07-07-244",8,398908-3                ,11624           ,霍尼韦尔,16392,30524.53,15:28,8,(AOG)VALVE                                                  ,5124003,00008611
73N,73N00551,5089    ,DE    ,CC    ,398908-5                ,22011           ,21    ,X,X,FAIL  ,2016-07-23,45694:40,27472,5717:17,2838,2017-05-20,47997:07,28587,8019:44,3953,,2302:27,"    航后依据AMM21-51-10-000-801完成更换左组件TCV,测试正常完成MCO-2017-05-20-59 叶航AF refer to AMM21-51-10-000-801 finished replaced the left pack TCVtest it ok finished MCO-2017-05-20-59398908-3 32545 398908-3 11590",1115,398908-3                ,11590           ,海口维修室,15468,29310.07,, ,(AOG)VALVE                                                  ,4983798,00008687
73N,73N05703,1483    ,DE    ,CC    ,398908-5                ,25601           ,21    ,X,X,FAIL  ,2015-12-02,00:00,0,00:00,0,2018-09-09,7984:09,5203,7984:09,5203,左组件再现时左组件灯亮LH pack recall pack light on赵长华,7984:09,"   航后依据AMM21-51-10更换左组件TCV 测试正常,自检两部ZTC无信息AF refer to AMM21-51-10 replace the TCV of lh pack test is okcheck ZTC is no message赵长华",5203,398908-3                ,16090           ,,11776,23140.13,, ,(AOG)VALVE                                                  ,6570092,00009906
73N,73N01745,5116    ,DE    ,CC    ,398908-5                ,22437           ,21    ,X,X,FAIL  ,2016-09-23,36621:04,18391,5964:20,3163,2018-08-16,42249:40,22221,11592:56,6993,落地机组反映驾驶舱温度低调节慢 许涛THE CREW REFLORT FLIGHT DECH TEMPERTUS IS LOW ADJSUTLONGLY,5628:36,  航后依据AMM21-61-21更换驾驶舱配平空气活门 测试正常  许涛AF REPALCED THE FAV FOR FLIGHT DECK RE TO AMM21-61-21TEST OK TAG:0046238,3830,398908-3                ,12536           ,海口维修室,15278,29778.37,, ,(AOG)VALVE                                                  ,6482407,00009995
73N,73N05220,6268    ,DE    ,CC    ,398908-5                ,23267           ,21    ,X,X,FAIL  ,2016-11-07,4276:15,2109,5280:47,2637,2016-12-11,4558:54,2218,5563:26,2746,右组件PACK灯亮自检有TCV信息. 候睿RH PACK LIGHT IS ON ZTV BIT HAVE TCV MSG.,282:39, 依据AMM21-51-10更换TCV测试正常. 候睿REFER AMM21-51-10 REPLACE THE TCV TEST OK.,109,398908-5                ,23920           ,海口维修室,5495,11566.25,, ,(AOG)VALVE                                                  ,4553787,00011355
73N,73N01649,5115    ,DE    ,CC    ,398908-5                ,24555           ,21    ,X,X,FAIL  ,2017-06-06,40422:48,20809,3005:02,1474,2018-07-29,44097:01,23123,6679:15,3788,航前通电后组件PACK灯亮PF supply elbctuical power the pack lmap is illumirated许涛,3674:13,"    航后依据AMM21-51-10更换TCV活门检查正常,依据AMM21-61-00测试ZTC无故障信息,AF replace the T4 refer to AMM21-51-00 check it ok bite ztcrefer to AMM21-61-00 test it ok许涛",2314,398908-3                ,5059            ,海口维修室,33893,53745.05,3674:13,2314,(AOG)VALVE                                                  ,6417452,00014161
73N,73N05695,7198    ,DE    ,CC    ,398908-5                ,3144            ,21    ,X,X,FAIL  ,2016-08-10,2049:24,786,64607:47,36964,2018-01-16,6622:57,2836,69181:20,39014,反映右组件PACKING 灯亮. 杨盛林SAID PACK LIGHT ON IN REDIRSAS,4573:33,"   航后自检ZTC无信息.依据AMM21-51-10-000-801更换右组件TCV,测试正常.杨盛林AF BITE ZTC NO MESSAGE REFER TO AMM21-51-10-000-801 REPLACED R PACKTCV TEST OK",2050,398908-3                ,2341            ,海口维修室,36999,62962.43,, ,(AOG)VALVE                                                  ,5732796,00015420
73N,73N05695,7198    ,DE    ,CC    ,398908-5                ,25576           ,21    ,X,X,FAIL  ,2015-11-30,00:00,0,00:00,0,2016-08-10,2049:24,786,2049:24,786,空中右组件灯亮.     韩杰,2049:24, 过站更换右组件TCV依据AMM21-51-10测试正常.    韩杰TR replace right pack TCV refer AMM21-51-10 test is ok,786,398908-5                ,3144            ,,39892,71389.53,, ,(AOG)VALVE                                                  ,4238177,00015736
73N,73N05645,1482    ,DE    ,CC    ,398908-5                ,25290           ,21    ,X,X,FAIL  ,2015-10-19,00:00,0,00:00,0,2018-05-23,7476:47,4874,7476:47,4874,,7476:47,  FROM FL 00018642B航后依据AMM21-51-10更换左组件TCV 测试正常    刘康AF REF AMM21-51-10 REAPLECD TCV OF L PACK TEST OK,4874,398908-3                ,6295            ,,27406,53786.23,, ,(AOG)VALVE                                                  ,6182862,00018644
73N,73N06678,1481    ,DE    ,CC    ,398908-5                ,30651           ,21    ,X,X,FAIL  ,2017-10-31,00:00,0,00:00,0,2018-12-12,3533:07,2076,3533:07,2076,,3533:07,"            FROM FL 00019726B航后依据AMM21-61自检两部PFTC无信息 检查TCV STCV 两侧 无明显漏气异常后依据AMM21-33-03 自检两部PFTC无信息  后依据AMM21-51-10完成左右TCV更换检查无渗漏 依据AMM21-51-43 完成左侧组件 流量传感器更换测试均正常   后依据AMM05-51-91完成增压测试结果为170S满足要求   靖徐成  杨旭AF REF TO AMM12-61 BITE TWO PFTC NO MASSAGECEHK TCV STCV RH AND LH NO LEAKAGE THE REF TO AMM21-33-03BITE CPC1 AND CPC 2 MASSAGE THE REF TO AMM21-51-10 ACCOMSPEJHDREPACLE RH AND LH PACK TCV CEHK NO LEAKGE REF AMM21-51-43ACCOMSPLEIHD LH PACK FLOW SENSOR TEST IS OK THEN REF TOAMM05-51-961 ACCOMSOEIDH CABIN PRESSURE LACK TEST RESULT IS OK51090306-002/51090306-02051,51090306-002/51090306-03507",2076,398908-3                ,18017           ,,9048,18895.15,, ,(AOG)VALVE                                                  ,6896395,00019729
73N,73N06678,1481    ,DE    ,CC    ,398908-5                ,30858           ,21    ,X,X,FAIL  ,2017-10-31,00:00,0,00:00,0,2018-12-12,3533:07,2076,3533:07,2076,,3533:07,"            FROM FL 00019726B航后依据AMM21-61自检两部PFTC无信息 检查TCV STCV 两侧 无明显漏气异常后依据AMM21-33-03 自检两部PFTC无信息  后依据AMM21-51-10完成左右TCV更换检查无渗漏 依据AMM21-51-43 完成左侧组件 流量传感器更换测试均正常   后依据AMM05-51-91完成增压测试结果为170S满足要求   靖徐成  杨旭AF REF TO AMM12-61 BITE TWO PFTC NO MASSAGECEHK TCV STCV RH AND LH NO LEAKAGE THE REF TO AMM21-33-03BITE CPC1 AND CPC 2 MASSAGE THE REF TO AMM21-51-10 ACCOMSPEJHDREPACLE RH AND LH PACK TCV CEHK NO LEAKGE REF AMM21-51-43ACCOMSPLEIHD LH PACK FLOW SENSOR TEST IS OK THEN REF TOAMM05-51-961 ACCOMSOEIDH CABIN PRESSURE LACK TEST RESULT IS OK51090306-002/51090306-02051,51090306-002/51090306-03507",2076,398908-3                ,7610            ,,22714,44922.14,, ,(AOG)VALVE                                                  ,6896395,00019729
73N,73N05655,6995    ,DE    ,CC    ,398908-5                ,25339           ,21    ,X,X,FAIL  ,2016-05-12,1580:52,759,1580:52,759,2017-12-10,6631:33,3015,6631:33,3015,启动双发后左组件灯亮   杨举鹏LEFT PACK LIGHT ILLUME WHEN ENGINE START,5050:41,"   航后依据 AMM21-61-00 自检 ZTC 无故障信息,依据 AMM21-61-00 更换TCV ,测试正常    杨举鹏AF REFER TO AMM21-61-00 BITE ZTC NO FAULT MESSAGE REFER TOAMM21-61-00 REPLACE TCV TEST OK",2256,398908-3                ,4338            ,,33373,53359.11,, ,(AOG)VALVE                                                  ,5605985,00021414
73N,73N06133,1570    ,DE    ,CC    ,398908-5                ,27944           ,21    ,X,X,FAIL  ,2016-10-20,00:00,0,00:00,0,2017-12-12,3659:13,1608,3659:13,1608,"2017年12月11日, 乌鲁木齐过站机组反映驾驶舱区域温度灯亮, 主警告可复位任俊杰",3659:13,"        航后依据 FIM21-62TASK801 自检两部PFTC当前均无信息, PFTC1历史有TRIM-VALVE 21-51275 信息, 驾驶舱配平活门不工作, 依据 AMM21-61-21更换驾驶舱配平活门, 测试正常, 并清洁驾驶舱温度传感器, 依据AMM21-61-17 更换PFTC1 并测试正常.   任俊杰AF REFER TO FIM21-62TASK801BITE TWO PFTC NO FAULT PFTC1 FAULT HISTORYHAS TRIM VALVE 21-51275 AND COMPARTMENT TRIM VALVE NOT WORK REFERTO AMM21-61-21 REPLACE COMPARTMENT TRIM VALVE TEST IS NORMAL AND CLEAN COMPARTMENT TEMPERATURE SENSOR REFER TO AMM21-61-17 REPLACE PFTC1TEST OK",1608,398908-3                ,2712            ,,34201,63833.45,, ,(AOG)VALVE                                                  ,5612391,00021566
73N,73N05655,6995    ,DE    ,CC    ,398908-5                ,22429           ,21    ,X,X,FAIL  ,2016-05-13,1591:02,763,4508:43,2409,2017-09-24,5975:15,2725,8892:56,4371,后舱区域温度灯亮.  王海涛AFT CAB ZONE TEMPUTER LIGHT WAS ON,4384:13,    航后询问机组后续使用正常.自检ZTC无故障信息.检查各活门正常.依据AMM21-51-10 更换后舱配平活门. 测试正常.无渗漏 王海涛AF ASK CREW USEING NORMAL AFTER BITE ZTC NO TROUBLESHOOTING CHECKOTHER VALVE NORMAL REFER TO AMM21-51-10 REPLACED AFT CAB TRIANMODULETING VALVE TEST NORMAL NO LEAKGING,1962,398908-5                ,27559           ,霍尼韦尔,3044,7258.24,4384:13,1962,(AOG)VALVE                                                  ,5361675,00021646
73N,73N01015,2157    ,DE    ,CC    ,398908-5                ,21239           ,21    ,X,X,FAIL  ,2016-01-04,47588:22,23971,516:34,274,2017-10-14,52743:02,26450,5671:14,2753,"左组件灯亮复位后正常, 自检有TCV信息, 清除信息后正常.   曾乙峰L PACK LIGHT ON TEST THERE HAS TCV MESSAGE THEN NORMAL",5154:40,"      航后依据 AMM21-62 完成ZTC自检, 结果正常, 更换左组件TCV测试正常,ZTC1测试正常, ZTC2测试时TCV红灯亮, 依据 AMM21-51-10 更换右组件TCV,测试两部ZTC均正常.   曾乙峰AF REFER TO AMM21-62 ACCOMPLISH THE ZTC BITE TEST OKFLB00023230B REFER TO AMM21-51-10 REPLACE THE L PACK TCV TEST THE ZTC1 OK BUT ZTC2 HAD A TCV RED RIGHT COME ON REPLACED THE R PACK TCVTHEN TEST THE TWO ZTC WORK WELL",2479,398908-3                ,18006           ,HONEYWELL,9127,18641.11,5154:40,2479,(AOG)VALVE                                                  ,5419800,00023230
73N,73N01015,2157    ,DE    ,CC    ,398908-5                ,8204            ,21    ,X,X,FAIL  ,2016-08-18,49627:43,24826,33864:11,17205,2017-10-14,52743:02,26450,36979:30,18829,"左组件灯亮复位后正常, 自检有TCV信息, 清除信息后正常.   曾乙峰L PACK LIGHT ON TEST THERE HAS TCV MESSAGE THEN NORMAL",3115:19,"      航后依据 AMM21-62 完成ZTC自检, 结果正常, 更换左组件TCV测试正常,ZTC1测试正常, ZTC2测试时TCV红灯亮, 依据 AMM21-51-10 更换右组件TCV,测试两部ZTC均正常.   曾乙峰AF REFER TO AMM21-62 ACCOMPLISH THE ZTC BITE TEST OKFLB00023230B REFER TO AMM21-51-10 REPLACE THE L PACK TCV TEST THE ZTC1 OK BUT ZTC2 HAD A TCV RED RIGHT COME ON REPLACED THE R PACK TCVTHEN TEST THE TWO ZTC WORK WELL",1624,398908-3                ,8278            ,海口维修室,20455,41162.59,, ,(AOG)VALVE                                                  ,5419800,00023230
73N,73N06062,1569    ,DE    ,CC    ,398908-5                ,27559           ,21    ,X,X,FAIL  ,2016-08-23,00:00,0,00:00,0,2017-07-26,2590:13,1126,2590:13,1126,再现时.区域温度灯亮. 王海涛CONT CAB ZONE TEMPATURE LIGHT ON,2590:13,    航后询问机组使用正常.自检两部PFTC当前有21-51268 21-51275 21-5126951508故障代码. 依据AMM21-61-21更换左侧TAV 测试正常. 王海涛AF ASK CREW USEING OK BITE TEST TUB PFTC EXISTING FAULT 21-5126821-51275 21-51269 21-51508 NUMBER REFER TO AMM21-61-21 REPLACEDLH TAV TEST OK,1126,398908-5                ,9467            ,,17454,35558.04,, ,(AOG)VALVE                                                  ,5175432,00026418
73N,73N06649,1325    ,DE    ,CC    ,398908-5                ,30776           ,21    ,X,X,FAIL  ,2017-10-16,00:00,0,00:00,0,2018-07-10,2196:34,947,2196:34,947,航后自检 21-51266 21-51267 信息    任俊杰AF BITE HAVE 21-51266 21-51267 MESSAGE,2196:34," 航后依据 AMM21--51-10 更换右组件TCU,测试正常   任俊杰AF REFER TO AMM21--51-10 REPLACE RH PACK TCU,TEST OK",947,398908-5                ,25290           ,,5552,9048.06,, ,(AOG)VALVE                                                  ,6349022,00026835
73N,73N00972,2159    ,DE    ,CC    ,398908-5                ,25130           ,21    ,X,X,FAIL  ,2018-06-25,55146:38,27616,5322:46,2366,2018-11-20,56306:35,28092,6482:43,2842,过站反映左组件灯亮有TCV信息.  李腾TR REACTION LEFT MODULE LIGHT,1159:57, 航后依据 AMM21-51-10 更换右组件TCV测试正常.  李腾AF REFER AMM21-51-10 CHANGE LEFT PACK TCV TEST IS NORMAL,476,398908-5                ,22176           ,霍尼韦尔,5693,10939.03,3616:22,1433,(AOG)VALVE                                                  ,6816179,00028119
73N,73N05695,7198    ,DE    ,CC    ,398908-5                ,25575           ,21    ,X,X,FAIL  ,2015-11-30,00:00,0,00:00,0,2018-04-23,7475:15,3204,7475:15,3204,航前机组报告前舱区域温度灯亮。  李维昂PF CREW REPORT FIND PASSENGER COMPART HEAT LIGHT,7475:15,"   航后依据 AMM21-61-21 更换前舱配平活门, 依据 AMM21-61-10 清洁客舱温度传感器, 测试正常.   李维昂AF REFER TO AMM21-61-21 REPLACE ZONE TRIM AIR MODULATING VALVE REFERTO AMM21-61-21 CABIN TEMP SENSOR TEST IS NORMAL.",3204,398908-3                ,8116            ,,19221,37356.42,, ,(AOG)VALVE                                                  ,6080739,00031427
73N,73N01033,2158    ,DE    ,CC    ,398908-5                ,25130           ,21    ,X,X,FAIL  ,2017-08-18,52666:19,26127,2866:21,1409,2018-05-30,55122:44,27084,5322:46,2366,管道温度偏低  机组,2456:25,"      FLB00031849 航后检查前舱区域配平活门在关位, 依据 AMM21-61-21 更换活门, 故障依旧, 将本机ZTC对串, 故障依旧, 原件串回, 将本机ACAU对串故障依旧, 因停场时间不足, 办理 DD201821992 并原件装回. 郑兆勇 CHECKFORWANGD CABIN ZONE TRIM AIR MODULATING VALVE FAIN IN ZONE REFERAMM21-61-21 REPLACE THE VALVE THE FAULT IS STILL EXCHANGE TWO ZTCFAULT IS STILL INSTALL THEM IN ORIGAL POSITION EXCHANGE ACAU FAUL TIS STILL REINSTALL THEM ORIGINED DUE TO SG FROM DD201821992",957,398908-5                ,22637           ,霍尼韦尔,5980,10445.5,2456:25,957,(AOG)VALVE                                                  ,6208195,00031848
73N,73N01033,2158    ,DE    ,CC    ,398908-5                ,22637           ,21    ,X,X,FAIL  ,2018-05-30,55122:44,27084,8908:50,5205,2018-06-01,55138:28,27088,8924:34,5209,FROM FLB 00031849A,15:44,"     航后依据 AMM21-61-10 更换客舱温度传感器,依据 AMM21-51-61 更换前舱配平活门,自检ZTC无故障信息,检查前舱配平活门不工作,因时间不足未进一步排故    吴江AF REFER TO AMM21-61-10 REPLACE CABIN TEMPERATURE SENSOR AND REFERTO AMM21-51-61 REPLACE FWD TCV ACCOMPLISHED ZTC BITE TO NORMALBECAUSE SG UNFINISHED",4,398908-3                ,11431           ,霍尼韦尔,14909,29127.31,15:44,4,(AOG)VALVE                                                  ,6215375,00031857
73N,73N00972,2159    ,DE    ,CC    ,398908-5                ,23511           ,21    ,X,X,FAIL  ,2016-06-27,49410:53,24709,3624:05,1950,2018-05-26,54920:26,27526,9133:38,4767,FROM FLB 00032721B,5509:33,"   航前依据 AMM21-51-10 更换TCV,测试正常,依据 AMM21-61-20 更换ZTC,测试正常,关闭保留   DD201821065  杨举鹏PF REFER TO AMM21-51-10 REPLACE TCV,TEST OK REFER TO AMM21-61-20REPLACE ZTC TEST OK CLOSE DD201821065",2817,398908-5                ,3144            ,海口维修室,39892,71389.53,, ,(AOG)VALVE                                                  ,6194232,00032728
73N,73N00972,2159    ,DE    ,CC    ,398908-5                ,3144            ,21    , , ,SWAP  ,2018-05-26,54920:26,27526,69231:40,39034,2018-05-26,54920:26,27526,69231:40,39034,FROM FLB 00032728A,00:00," 为进一步排故,将右组件TCV与后舱配平活门对串,测试正常  王秉奎FOR TROUBLE SHOOTING EXCHANGE THE TCV WITH AFT CABIN VALVE TEST OK",0,398908-3                ,14124           ,海口维修室,12321,24065.08,00:00,0,(AOG)VALVE                                                  ,6194258,00032729
73N,73N05760,1568    ,DE    ,CC    ,398908-5                ,25888           ,21    ,X,X,FAIL  ,2016-01-21,00:00,0,00:00,0,2018-09-05,7108:19,2827,7108:19,2827,"机组反映落地后左组件PACK灯亮,航后自检PFTC有TCV故障信息李明CREW REPORT THE L PACK LIGHT AFTER LANDING AF BITE TCV HAVE FAULTMESSAGE",7108:19," 航后依据 AMM21-51-10 更换左组件TCV ,测试正常   李明AF REFER TO AMM21-51-10 REPLACE L PACK TCV TEST OK",2827,398908-3                ,15238           ,,12412,24191.5,, ,(AOG)VALVE                                                  ,6552729,00036119
